track_name,artist,album,release_date,popularity,track_id
Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,68,4UMIv5jd9gK98a39BQRD9X
Pasoori,Ali Sethi,Pasoori,2022-02-07,59,7lvDsmTRXFE3dK4OjvRiWB
Ishq Wala Love,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),2012-08-31,72,1hQia6rxgfM1ly2hE3StWp
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",2021-07-30,71,2rOnSn2piaqLAlYjtfUBlY
Yaad Piya Ki Aane Lagi,Neha Kakkar,Yaad Piya Ki Aane Lagi,2019-11-16,61,0TkquWzzuxcrwbCWlTrKYF
"Dance Ka Bhoot (From ""Brahmastra"")",Pritam,"Dance Ka Bhoot (From ""Brahmastra"")",2022-08-25,52,5OcGETO7eEKjKme4gm0r7y
Param Sundari,A.R. Rahman,Mimi (Original Motion Picture Soundtrack),2021-07-16,67,3KeMulXbLDJBQdY5PZbGEh
Jhoome Jo Pathaan,Vishal-Shekhar,Pathaan,2022-12-22,64,6FAYpZ4jve8vpvTwUvjK6H
Jugnu,Badshah,Jugnu,2021-10-26,64,2NTVtNcpC0i1R7LVGaCZCF
Bijlee Bijlee,Harrdy Sandhu,Bijlee Bijlee,2021-10-30,67,1iZLpuGMr4tn1F5bZu32Kb
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",2022-12-12,67,0CtZpaOhtzvLV3FfcsVpQo
"O Saki Saki (From ""Batla House"")",Vishal-Shekhar,"O Saki Saki (From ""Batla House"")",2019-07-15,64,4cFwhwH5ydnHgB0Tv3lZsm
The Disco Song,Vishal-Shekhar,Student of the Year (Original Motion Picture Soundtrack),2012-08-31,59,3UaP2PQwhA31keZXt7oPLA
Illegal Weapon 2.0,Jasmine Sandlas,Street Dancer 3D,2020-02-13,62,7CY0CmCpSglfUKCBOOiRfw
